兔子,rabbit
火鸡,perd
乌鸦,crow
红雀,robin
雪雀,robin_winter
蝴蝶,butterfly
萤火虫,fireflies
蜜蜂,bee
杀人蜂,killerbee
苍蝇,flies
蚊子,mosquito
青蛙,frog
牛,beefalo
小牛,babybeefalo
闪电羊,lightninggoat
猪人,pigman
猪守卫,pigguard
兔人,bunnyman
鱼人,merm
洞穴蜘蛛,spider_hider
喷射蜘蛛,spider_spitter
地面小蜘蛛,spider
地面绿蜘蛛,spider_warrior
蜘蛛女王,spiderqueen
白蜘蛛,spider_dropper
猎狗,hound
红色猎狗,firehound
冰狗,icehound
触手,tentacle
巨型触手,tentacle_garden
树精,leif
稀有树精,leif_sparse
海象,walrus
小海象,little_walrus
小高鸟,smallbird
青年高鸟,teenbird
高鸟,tallbird
夏象,koalefant_summer
冬象,koalefant_winDter
企鹅,penguin
蜗牛龟,slurtle
黏糊虫,snurtle
蝙蝠,bat
龙虾,rocky
猴子,monkey
缀食者,slurper
秃鹫,buzzard
鼹鼠,mole
浣熊,catcoon
发条骑士,knight
主教,bishop
战车,rook
爬行暗影怪,crawlinghorror
尖嘴暗影怪,terrorbeak
巨鹿,deerclops
远古守护者,minotaur
远古虫子,worm
阿比盖尔,abigail
幽灵,ghost
麦斯威尔黑影小人,shadowwaxwell
坎普斯,krampus
格罗门,glommer
切斯特,chester
食人花,lureplant
食人花眼睛,eyeplant
大脚,bigfoot
猪王,pigking
鹿鸭,moose
小鸭,mossling
蜻蜓,dragonfly
座狼,warg
熊,bearger
坚果鸭,birchnutdrake
鹿鸭蛋,mooseegg
