斧子,axe
黄金斧头,goldenaxe
露西斧子,lucy
锤子,hammer
镐,pickaxe
黄金镐,goldenpickaxe
铲子,shovel
黄金铲子,goldenshovel
草叉,pitchfork
剃刀,razor
捕虫网,bugnet
鱼竿,fishingrod
多功能工具,multitool_axe_pickaxe
行走手杖,cane
陷阱,trap
鸟陷阱,birdtrap
牙齿陷阱,trap_teeth
麦斯威尔的牙齿陷阱,trap_teeth_maxwell
背包,backpack
猪皮包,piggyback
坎普斯背包,krampus_sack
雨伞,umbrella
草伞,grass_umbrella
保温石,heatrock
草席卷,bedroll_straw
毛皮铺盖,bedroll_furry
火炬,torch
提灯,lantern
南瓜灯,pumpkin_lantern
指南针,compass
化肥,fertilizer
灭火器,firesuppressor
缝纫工具包,sewing_kit
矛,spear
回旋镖,boomerang
狼牙棒,tentaclespike
吹箭,blowdart_pipe
麻醉吹箭,blowdart_sleep
燃烧吹箭,blowdart_fire
火腿短棍,hambat
暗影剑,nightsword
蝙蝠棒,batbat
远古短棒,ruins_bat
瓦丝格雷斯矛,spear_wathgrithr
排箫,panflute
独奏乐器,onemanband
火药,gunpowder
蜜蜂地雷,beemine
铃,bell
红色护身符,amulet
蓝色护身符,blueamulet
紫色护身符,purpleamulet
黄色护身符,yellowamulet
橙色护身符,orangeamulet 
绿色护身符,greenamulet
铥矿奖章,nightmare_timepiece
冰魔杖,icestaff
火魔杖,firestaff
传送魔杖,telestaff
橙色魔杖,orangestaff
绿色魔杖,greenstaff
黄色魔杖,yellowstaff
探矿杖,diviningrod
召唤鸟的书,book_birds
召唤触手的书,book_tentacles
催生植物的书,book_gardening
催眠的书,book_sleep
召唤闪电的书,book_brimstone
麦斯威尔的日志,waxwelljournal
阿比盖尔之花,abigail_flower
空气球,balloons_empty
气球,balloon
薇洛的打火机,lighter
切斯特骨眼,chester_eyebone
羽毛扇,featherfan
龙卷风魔杖,staff_tornado
夜棍,nightstick
