草,cutgrass
树枝,twigs
木头,log
木炭,charcoal
灰,ash
采下的芦苇,cutreeds
荧光果,lightbulb
花瓣,petals
噩梦花瓣,petals_evil
松果,pinecone
叶子,foliage
摘下的苔藓,cutlichen
虫子果,wormlight
食人花种子,lureplantbulb
燧石,flint
硝石,nitre
红宝石,redgem
蓝宝石,bluegem
紫宝石,purplegem
绿宝石,greengem
橙宝石,orangegem
黄宝石,yellowgem
岩石,rocks
黄金,goldnugget
铥矿石,thulecite
铥矿碎片,thulecite_pieces
绳子,rope
木板,boards
石砖,cutstone
纸,papyrus
犬牙,houndstooth
猪皮,pigskin
兔人尾巴,manrabbit_tail
蜘蛛丝,silk
蜘蛛腺体,spidergland
蜘蛛卵,spidereggsack
胡子,beardhair
牛毛,beefalowool
蜂巢,honeycomb
蜂刺,stinger
海象牙,walrus_tusk
乌鸦羽毛,feather_crow
红雀羽毛,feather_robin
雪雀羽毛,feather_robin_winter
牛角,horn
触手皮,tentaclespots
夏象鼻,trunk_summer
冬象鼻,trunk_winter
蜗牛龟粘液,slurtleslime
蜗牛龟壳片,slurtle_shellpieces
蝴蝶翅膀,butterflywings
蚊子血囊,mosquitosack
啜食者皮,slurper_pelt
远古守护者角,minotaurhorn
巨鹿眼球,deerclops_eyeball
闪电羊角,lightninggoathorn
格罗门翅膀,glommerwings
格罗门花,glommerflower
格罗门燃料,glommerfuel
活木头,livinglog
噩梦燃料,nightmarefuel
齿轮,gears
晶体管,transistor
大理石,marble
硬骨头,boneshard
冰,ice
便便,poop
鸟粪,guano
蜻蜓鳞片,dragon_scales
鹿鸭羽毛,goose_feather
浣熊尾巴,coontail
熊皮,bearger_fur
