花,flower
噩梦花,flower_evil
长在地上的胡萝卜,carrot_planted
长在地上的草,grass
草根,depleted_grass
长草簇,dug_grass
树苗,sapling
可种的树苗,dug_sapling
果树丛,berrybush
可种的果树丛,dug_berrybush
果树丛2,berrybush2
可种的果树丛2,dug_berrybush2
尖刺灌木,marsh_bush
可种的尖刺灌木,dug_marsh_bush
芦苇,reeds
洞穴苔藓,lichen
蕨类植物,cave_fern
树,evergreen
无松果的树,evergreen_sparse
针叶树,marsh_tree
洞穴香蕉树,cave_banana_tree
活树,livingtree
橡树,deciduoustree
高橡树,deciduoustree_tall
矮橡树,deciduoustree_short
红蘑菇,red_mushroom
绿蘑菇,green_mushroom
蓝蘑菇,blue_mushroom
高蘑菇树,mushtree_tall
中蘑菇树,mushtree_medium
小蘑菇树,mushtree_small
单朵洞穴花,flower_cave
双朵洞穴花,flower_cave_double
三朵洞穴花,flower_cave_triple
滚草,tumbleweed
仙人掌,cactus
仙人掌花,cactus_flower
水塘边小草,marsh_plant
水藻,pond_algae
