胡萝卜,carrot
熟胡萝卜,carrot_cooked
浆果,berries
熟浆果,berries_cooked
南瓜,pumpkin
熟南瓜,pumpkin_cooked
火龙果,dragonfruit
熟火龙果,dragonfruit_cooked
石榴,pomegranate
熟石榴,pomegranate_cooked
玉米,corn
熟玉米,corn_cooked
榴莲,durian
熟榴莲,durian_cooked
茄子,eggplant
熟茄子,eggplant_cooked
洞穴香蕉,cave_banana
熟洞穴香蕉,cave_banana_cooked
橡果,acorn
熟橡果,acorn_cooked
仙人掌肉,cactus_meat
西瓜,watermelon
采摘的红蘑菇,red_cap
煮熟的红蘑菇,red_cap_cooked
采摘的绿蘑菇,green_cap
煮熟的绿蘑菇,green_cap_cooked
煮熟的蓝蘑菇,blue_cap_cooked
采摘的蓝蘑菇,blue_cap
种子,seeds
熟种子,seeds_cooked
胡萝卜种子,carrot_seeds
南瓜种子,pumpkin_seeds
火龙果种子,dragonfruit_seeds
石榴种子,pomegranate_seeds
玉米种子,corn_seeds
榴莲种子,durian_seeds
茄子种子,eggplant_seeds
小肉,smallmeat
小熟肉,cookedsmallmeat
小干肉,smallmeat_dried
大肉,meat
大熟肉,cookedmeat
大干肉,meat_dried
鸡腿,drumstick
熟鸡腿,drumstick_cooked
疯肉,monstermeat
熟疯肉,cookedmonstermeat
干疯肉,monstermeat_dried
食人花肉,plantmeat
熟食人花肉,plantmeat_cooked
鸡蛋,bird_egg
煮熟的鸡蛋,bird_egg_cooked
烂鸡蛋,rottenegg
高鸟蛋,tallbirdegg
熟高鸟蛋,tallbirdegg_cooked
孵化的高鸟蛋,tallbirdegg_cracked
鱼,fish
熟鱼,fish_cooked
鳗鱼,eel
熟鳗鱼,eel_cooked
蛙腿,froglegs
熟蛙腿,froglegs_cooked
蝙蝠翅膀,batwing
熟蝙蝠翅膀,batwing_cooked
熟象鼻,trunk_cooked
曼德拉草,mandrake
熟曼特拉草,cookedmandrake
蜂蜜,honey
黄油,butter
奶油松饼,butterflymuffin
青蛙圆面包三明治,frogglebunwich
蜜汁火腿,honeyham
龙馅饼,dragonpie
太妃糖,taffy
南瓜饼,pumpkincookie
肉串,kabobs
芝士蛋糕,powcake
曼德拉草汤,mandrakesoup
鸡蛋火腿,baconeggs
肉汤,bonestew
半圆小酥饼,perogies
湿腻焦糊,wetgoop
蹩脚的炖菜,ratatouille
水果拼盘,fruitmedley
玉米饼包炸鱼,fishtacos
华夫饼,waffles
火鸡正餐,turkeydinner
鱼肉条,fishsticks
香酥茄盒,stuffedeggplant
甜蜜金砖,honeynuggets
肉丸,meatballs
果酱蜜饯,jammypreserves
怪物千层饼,monsterlasagna
鳗鱼料理,unagi
蜂蜜绷带,bandage
治疗药膏,healingsalve
腐烂食物,spoiled_food
花沙拉,flowersalad
冰激淋,icecream
西瓜冰,watermelonicle
干果,trailmix
咖喱,hotchili
鳄梨酱,guacamole
羊奶,goatmilk
